CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Saldo_Atividade,Produtos_Idade,Score_Idade,Churn_Real,Churn_Previsto,Probabilidade_Churn
518,2,1,50,4,0.0,1,0,0,107112.25,1,2,2,225,0.0,0.02,10.36,1,1,0.9998104
617,1,0,58,3,119024.75,2,1,0,35199.24,1,2,2,452,119024.75,0.034482758620689655,10.637931034482758,1,1,0.9998053
598,0,1,48,6,120682.53,1,1,0,30635.52,1,2,1,675,120682.53,0.020833333333333332,12.458333333333334,1,1,0.9998031
535,0,0,49,3,0.0,1,0,0,61820.41,1,1,1,269,0.0,0.02040816326530612,10.918367346938776,1,1,0.99980146
691,0,1,52,3,0.0,1,1,0,175843.68,1,3,3,660,0.0,0.019230769230769232,13.288461538461538,1,1,0.999796
793,2,1,52,2,0.0,1,1,0,159123.82,1,5,1,883,0.0,0.019230769230769232,15.25,1,1,0.999795
834,0,0,49,2,131394.56,1,0,0,194365.76,1,2,1,567,131394.56,0.02040816326530612,17.020408163265305,1,1,0.9997944
551,0,1,52,1,0.0,1,0,0,63584.55,1,1,2,605,0.0,0.019230769230769232,10.596153846153847,1,1,0.99978536
811,1,1,52,10,76915.4,1,0,0,146359.81,1,2,1,488,76915.4,0.019230769230769232,15.596153846153847,1,1,0.999782
594,0,0,53,4,0.0,1,1,0,5408.74,1,2,2,985,0.0,0.018867924528301886,11.20754716981132,1,1,0.9997814
432,1,0,45,3,110219.14,1,1,0,43046.7,1,5,1,946,110219.14,0.022222222222222223,9.6,1,1,0.9997814
616,0,0,66,1,135842.41,1,1,0,183840.51,1,2,0,302,135842.41,0.015151515151515152,9.333333333333334,1,1,0.9997814
517,1,1,53,0,109172.88,1,1,0,54676.1,1,4,1,547,109172.88,0.018867924528301886,9.754716981132075,1,1,0.9997693
651,0,1,56,2,0.0,1,1,0,114522.68,1,4,1,327,0.0,0.017857142857142856,11.625,1,1,0.9997657
620,0,1,61,5,0.0,1,0,0,31641.52,1,3,1,586,0.0,0.01639344262295082,10.163934426229508,1,1,0.99976486
550,1,0,45,8,111257.59,1,0,0,97623.42,1,1,3,448,111257.59,0.022222222222222223,12.222222222222221,1,1,0.9997632
465,0,0,51,8,122522.32,1,0,0,181297.65,1,5,3,828,122522.32,0.0196078431372549,9.117647058823529,1,1,0.9997614
537,1,0,47,6,103163.35,1,1,0,16259.64,1,3,3,367,103163.35,0.02127659574468085,11.425531914893616,1,1,0.9997515
540,0,1,48,2,109349.29,1,1,0,88703.04,1,5,0,521,109349.29,0.020833333333333332,11.25,1,1,0.9997466
738,1,1,58,2,133745.44,4,1,0,28373.86,1,4,1,725,133745.44,0.06896551724137931,12.724137931034482,1,1,0.9997353
635,1,0,65,5,117325.54,1,1,0,155799.86,1,3,2,958,117325.54,0.015384615384615385,9.76923076923077,1,1,0.9997341
664,2,0,53,7,187602.18,1,1,0,186392.99,1,2,3,712,187602.18,0.018867924528301886,12.528301886792454,1,1,0.99973255
661,1,1,44,1,141136.62,1,1,0,189742.78,1,2,0,362,141136.62,0.022727272727272728,15.022727272727273,1,1,0.9997285
537,1,1,39,3,135309.36,1,1,0,31728.86,1,2,2,746,135309.36,0.02564102564102564,13.76923076923077,1,1,0.9997253
700,1,0,40,4,148571.07,1,1,0,189826.96,1,2,3,266,148571.07,0.025,17.5,1,1,0.99972504
544,2,0,53,9,0.0,1,1,0,125692.07,1,4,0,364,0.0,0.018867924528301886,10.264150943396226,1,1,0.99972254
456,0,0,63,1,165350.61,2,0,0,140758.07,1,1,3,343,165350.61,0.031746031746031744,7.238095238095238,1,1,0.9997178
622,0,1,41,2,127087.06,1,1,0,102402.91,1,2,1,675,127087.06,0.024390243902439025,15.170731707317072,1,1,0.99971694
675,0,0,61,5,62055.17,3,1,0,166305.16,1,4,2,716,62055.17,0.04918032786885246,11.065573770491802,1,1,0.9997161
766,1,1,47,9,129289.98,1,1,0,169935.46,1,4,2,286,129289.98,0.02127659574468085,16.29787234042553,1,1,0.99971503
584,0,0,66,5,0.0,1,1,0,49553.38,1,4,1,770,0.0,0.015151515151515152,8.848484848484848,1,1,0.9997147
614,0,1,50,4,137104.47,1,1,0,127166.49,1,1,0,958,137104.47,0.02,12.28,1,1,0.9997123
645,1,1,43,9,140121.17,1,1,0,11302.7,1,1,0,752,140121.17,0.023255813953488372,15.0,1,1,0.9997012
638,1,0,53,1,123916.67,1,1,0,16657.68,1,3,0,639,123916.67,0.018867924528301886,12.037735849056604,1,1,0.99969447
351,1,0,57,4,163146.46,1,1,0,169621.69,1,4,3,453,163146.46,0.017543859649122806,6.157894736842105,1,1,0.9996904
535,2,1,48,9,109472.47,1,1,0,157358.43,1,2,1,415,109472.47,0.020833333333333332,11.145833333333334,1,1,0.999689
642,1,0,56,6,103244.86,2,1,0,143049.72,1,4,2,918,103244.86,0.03571428571428571,11.464285714285714,1,1,0.99968874
624,0,0,45,3,68639.57,1,1,0,168002.31,1,2,0,553,68639.57,0.022222222222222223,13.866666666666667,1,1,0.99968326
517,1,0,59,8,154110.99,2,1,0,101240.08,1,1,0,872,154110.99,0.03389830508474576,8.76271186440678,1,1,0.99968004
603,0,1,51,8,186825.57,1,1,0,93739.71,1,2,2,645,186825.57,0.0196078431372549,11.823529411764707,1,1,0.99967504
686,2,1,45,3,74274.87,3,1,0,64907.48,1,4,1,228,74274.87,0.06666666666666667,15.244444444444444,1,1,0.9996731
651,0,1,44,2,0.0,3,1,0,102530.35,1,2,1,992,0.0,0.06818181818181818,14.795454545454545,1,1,0.99966514
727,1,1,46,3,115248.11,4,1,0,130752.01,1,3,0,343,115248.11,0.08695652173913043,15.804347826086957,1,1,0.9996636
612,2,0,63,2,131629.17,2,1,0,122109.58,1,4,3,642,131629.17,0.031746031746031744,9.714285714285714,1,1,0.999663
608,0,1,50,6,0.0,1,1,0,93568.77,1,4,3,343,0.0,0.02,12.16,1,1,0.99966156
760,0,0,51,2,100946.71,1,0,0,179614.8,1,4,0,550,100946.71,0.0196078431372549,14.901960784313726,1,1,0.9996561
587,1,0,49,7,155393.98,2,1,0,13308.2,1,1,0,318,155393.98,0.04081632653061224,11.979591836734693,1,1,0.9996525
626,0,1,43,4,137638.69,1,1,0,130442.08,1,2,1,560,137638.69,0.023255813953488372,14.55813953488372,1,1,0.99964464
531,0,0,47,6,0.0,1,0,0,194998.34,1,2,3,510,0.0,0.02127659574468085,11.297872340425531,1,1,0.999642
651,1,0,45,6,86714.06,1,1,0,85869.89,1,2,2,773,86714.06,0.022222222222222223,14.466666666666667,1,1,0.9996407
505,2,0,45,9,131355.3,3,1,0,195395.33,1,2,2,661,131355.3,0.06666666666666667,11.222222222222221,1,1,0.99963737
469,1,0,52,8,139493.25,3,0,0,150093.32,1,4,1,642,139493.25,0.057692307692307696,9.01923076923077,1,1,0.9996363
603,0,0,48,5,0.0,1,1,0,100478.6,1,2,2,709,0.0,0.020833333333333332,12.5625,1,1,0.9996339
627,0,1,44,6,153548.12,1,0,0,35300.08,1,2,0,740,153548.12,0.022727272727272728,14.25,1,1,0.9996331
585,2,0,56,1,128472.8,1,1,0,186476.91,1,2,1,815,128472.8,0.017857142857142856,10.446428571428571,1,1,0.9996263
850,2,0,53,7,65407.16,2,0,0,182633.63,1,1,2,480,65407.16,0.03773584905660377,16.037735849056602,1,1,0.9996259
655,1,0,46,7,137145.12,1,1,0,115146.4,1,4,1,591,137145.12,0.021739130434782608,14.23913043478261,1,1,0.9996214
478,0,0,50,2,0.0,1,0,1,93332.64,1,4,1,339,0.0,0.02,9.56,1,1,0.999617
706,1,0,46,4,105214.58,1,1,0,108699.59,1,3,2,635,105214.58,0.021739130434782608,15.347826086956522,1,1,0.9996166
834,1,0,57,8,112281.6,3,1,0,140225.14,1,3,1,597,112281.6,0.05263157894736842,14.631578947368421,1,1,0.9996137
672,0,1,52,8,170008.84,1,0,0,56407.42,1,4,3,555,170008.84,0.019230769230769232,12.923076923076923,1,1,0.99960977
588,0,1,44,8,154409.74,1,1,0,49324.03,1,1,0,736,154409.74,0.022727272727272728,13.363636363636363,1,1,0.9996076
799,0,0,63,1,110314.21,2,1,0,37464.0,1,3,1,982,110314.21,0.031746031746031744,12.682539682539682,1,1,0.999602
779,0,0,48,2,115290.27,1,0,0,98912.69,1,3,3,700,115290.27,0.020833333333333332,16.229166666666668,1,1,0.99960047
713,2,0,48,1,163760.82,1,0,0,157381.14,1,2,0,239,163760.82,0.020833333333333332,14.854166666666666,1,1,0.9995989
629,1,0,45,7,129818.39,3,1,0,9217.55,1,3,2,257,129818.39,0.06666666666666667,13.977777777777778,1,1,0.99959534
634,1,0,46,5,123642.36,1,1,1,49725.16,1,1,2,751,61821.18,0.021739130434782608,13.782608695652174,1,1,0.99959356
656,1,0,49,9,97092.87,1,1,0,74771.22,1,4,1,891,97092.87,0.02040816326530612,13.387755102040817,1,1,0.99959105
689,2,0,57,4,0.0,2,1,0,136649.8,1,2,1,909,0.0,0.03508771929824561,12.087719298245615,1,1,0.9995864
555,0,0,44,3,105770.7,3,1,0,60533.96,1,4,0,902,105770.7,0.06818181818181818,12.613636363636363,1,1,0.9995828
849,1,0,49,9,132934.89,1,1,0,171056.65,1,4,1,285,132934.89,0.02040816326530612,17.3265306122449,1,1,0.9995808
686,2,0,47,6,0.0,1,1,0,32080.69,1,3,2,510,0.0,0.02127659574468085,14.595744680851064,1,1,0.9995782
569,1,0,42,9,146100.75,1,1,0,32574.01,1,2,2,812,146100.75,0.023809523809523808,13.547619047619047,1,1,0.99957126
627,1,0,39,5,124586.93,1,1,0,93132.61,1,2,0,265,124586.93,0.02564102564102564,16.076923076923077,1,1,0.99957055
542,0,0,59,2,68892.77,2,1,0,7905.06,1,5,0,442,68892.77,0.03389830508474576,9.186440677966102,1,1,0.9995695
647,1,1,44,4,93960.35,1,1,0,36579.53,1,2,3,417,93960.35,0.022727272727272728,14.704545454545455,1,1,0.99956924
556,0,0,51,8,61354.14,1,1,0,198810.65,1,4,1,647,61354.14,0.0196078431372549,10.901960784313726,1,1,0.99956733
618,0,0,46,6,150213.71,1,1,0,120668.46,1,2,2,955,150213.71,0.021739130434782608,13.434782608695652,1,1,0.99956304
507,1,1,40,3,120105.43,1,1,0,92075.01,1,5,2,787,120105.43,0.025,12.675,1,1,0.99956053
664,0,1,46,2,0.0,1,1,1,177423.02,1,5,2,816,0.0,0.021739130434782608,14.434782608695652,1,1,0.9995528
612,1,0,47,6,130024.87,1,1,1,45750.21,1,4,2,705,65012.435,0.02127659574468085,13.02127659574468,1,1,0.9995521
718,0,0,49,10,0.0,1,1,0,184474.72,1,2,2,692,0.0,0.02040816326530612,14.653061224489797,1,1,0.9995493
693,1,0,43,1,121927.92,1,1,0,87994.95,1,4,1,572,121927.92,0.023255813953488372,16.11627906976744,1,1,0.99954635
509,0,0,46,1,0.0,1,1,0,71244.59,1,2,0,264,0.0,0.021739130434782608,11.065217391304348,1,1,0.9995455
768,2,0,42,3,0.0,1,0,0,161242.99,1,1,3,651,0.0,0.023809523809523808,18.285714285714285,1,1,0.99954295
664,0,1,54,8,0.0,1,1,1,162719.69,1,5,3,742,0.0,0.018518518518518517,12.296296296296296,1,1,0.99953604
350,0,0,60,3,0.0,1,0,0,113796.15,1,1,3,958,0.0,0.016666666666666666,5.833333333333333,1,1,0.99953425
707,2,0,52,7,0.0,1,1,0,109688.82,1,1,3,533,0.0,0.019230769230769232,13.596153846153847,1,1,0.99951684
496,1,0,59,7,91680.1,2,1,0,163141.18,1,4,1,609,91680.1,0.03389830508474576,8.40677966101695,1,1,0.99951196
580,1,1,45,8,103741.14,1,1,0,47428.73,1,4,1,799,103741.14,0.022222222222222223,12.88888888888889,1,1,0.99950767
832,0,1,61,2,0.0,1,0,1,127804.66,1,2,0,748,0.0,0.01639344262295082,13.639344262295081,1,1,0.99950635
575,1,1,49,7,121205.15,4,1,1,168080.53,1,2,0,227,60602.575,0.08163265306122448,11.73469387755102,1,1,0.9995053
655,0,0,41,5,0.0,1,0,0,36548.0,1,2,0,945,0.0,0.024390243902439025,15.975609756097562,1,1,0.99950397
621,1,1,51,4,109978.83,1,0,0,177740.58,1,3,3,387,109978.83,0.0196078431372549,12.176470588235293,1,1,0.999498
798,1,0,49,5,132571.67,1,1,1,31686.33,1,2,0,863,66285.835,0.02040816326530612,16.285714285714285,1,1,0.99949265
614,0,1,46,4,0.0,1,1,0,74379.57,1,5,0,445,0.0,0.021739130434782608,13.347826086956522,1,1,0.9994879
520,0,0,46,10,85216.61,1,1,0,117369.52,1,1,1,669,85216.61,0.021739130434782608,11.304347826086957,1,1,0.9994862
643,0,0,45,4,45144.43,1,1,0,60917.24,1,5,0,450,45144.43,0.022222222222222223,14.28888888888889,1,1,0.9994803
466,1,0,47,5,102085.72,1,1,1,183536.24,1,2,1,692,51042.86,0.02127659574468085,9.914893617021276,1,1,0.9994758
576,0,0,41,4,112609.91,1,0,0,191035.18,1,4,3,660,112609.91,0.024390243902439025,14.048780487804878,1,1,0.9994661
530,0,0,55,4,120905.03,1,0,1,123475.88,1,5,0,746,60452.515,0.01818181818181818,9.636363636363637,1,1,0.9994653
569,2,0,51,3,0.0,3,1,0,75084.96,1,2,3,411,0.0,0.058823529411764705,11.156862745098039,1,1,0.9994573
597,0,0,53,4,88381.21,1,1,0,69384.71,1,3,1,369,88381.21,0.018867924528301886,11.264150943396226,1,1,0.9994572
576,0,0,55,6,44582.07,3,0,1,67539.85,1,3,1,619,22291.035,0.05454545454545454,10.472727272727273,1,1,0.99943644
700,0,1,46,5,95872.86,1,1,0,98273.01,1,5,0,509,95872.86,0.021739130434782608,15.217391304347826,1,1,0.9994343
713,2,0,47,1,0.0,1,1,0,107825.08,1,5,0,571,0.0,0.02127659574468085,15.170212765957446,1,1,0.9994282
642,0,1,48,9,118317.27,4,0,0,78702.98,1,1,0,912,118317.27,0.08333333333333333,13.375,1,1,0.999428
651,2,0,46,4,89743.05,1,1,0,156425.57,1,5,2,860,89743.05,0.021739130434782608,14.152173913043478,1,1,0.9994179
728,0,0,46,2,109705.52,1,1,0,20276.87,1,5,2,469,109705.52,0.021739130434782608,15.826086956521738,1,1,0.99941707
722,0,0,49,3,168197.66,1,1,0,140765.57,1,1,3,383,168197.66,0.02040816326530612,14.73469387755102,1,1,0.9994074
610,1,0,69,5,86038.21,3,0,0,192743.06,1,1,0,613,86038.21,0.043478260869565216,8.840579710144928,1,1,0.99940217
550,1,0,42,10,128707.31,1,1,0,63092.65,1,4,2,337,128707.31,0.023809523809523808,13.095238095238095,1,1,0.9993913
617,2,1,50,7,0.0,1,1,0,184839.7,1,3,2,488,0.0,0.02,12.34,1,1,0.9993857
547,2,0,44,5,0.0,3,0,0,5459.07,1,1,0,471,0.0,0.06818181818181818,12.431818181818182,1,1,0.9993794
588,1,0,48,1,143279.58,2,1,0,31580.8,1,2,2,914,143279.58,0.041666666666666664,12.25,1,1,0.99937785
850,1,0,45,5,103909.86,1,1,0,60083.11,1,5,0,312,103909.86,0.022222222222222223,18.88888888888889,1,1,0.9993772
539,0,0,47,2,127286.04,2,1,1,166929.43,1,1,0,551,63643.02,0.0425531914893617,11.46808510638298,1,1,0.99937123
699,1,0,54,3,111009.32,1,1,1,155905.79,1,5,0,241,55504.66,0.018518518518518517,12.944444444444445,1,1,0.99936885
556,0,0,43,6,0.0,3,0,0,125154.57,1,4,1,877,0.0,0.06976744186046512,12.930232558139535,1,1,0.99935764
783,1,0,58,3,127539.3,1,1,1,96590.39,1,5,3,270,63769.65,0.017241379310344827,13.5,1,1,0.99934775
552,1,0,42,8,103362.14,1,0,1,186869.58,1,2,0,492,51681.07,0.023809523809523808,13.142857142857142,1,1,0.9993357
500,0,1,56,1,100374.58,1,1,0,118490.8,1,4,0,950,100374.58,0.017857142857142856,8.928571428571429,1,1,0.9993333
586,1,1,46,8,106968.96,1,1,1,79366.98,1,4,2,827,53484.48,0.021739130434782608,12.73913043478261,1,1,0.9993292
476,0,1,37,4,0.0,1,1,1,55775.84,1,1,2,649,0.0,0.02702702702702703,12.864864864864865,1,1,0.9993229
756,2,1,38,6,119208.85,1,1,0,169763.89,1,1,0,257,119208.85,0.02631578947368421,19.894736842105264,1,1,0.9993125
703,2,0,45,1,0.0,1,1,0,182784.11,1,2,3,919,0.0,0.022222222222222223,15.622222222222222,1,1,0.9993094
526,2,1,49,2,0.0,1,1,0,114539.67,1,2,0,948,0.0,0.02040816326530612,10.73469387755102,1,1,0.99929106
738,0,1,54,4,0.0,1,0,1,55725.04,1,4,2,444,0.0,0.018518518518518517,13.666666666666666,1,1,0.99929094
817,0,1,44,8,0.0,1,0,0,65501.91,1,5,0,681,0.0,0.022727272727272728,18.568181818181817,1,1,0.99928206
530,0,0,45,1,0.0,1,0,1,190663.89,1,2,2,695,0.0,0.022222222222222223,11.777777777777779,1,1,0.99928135
581,0,0,47,1,122949.14,1,0,0,180251.68,1,2,0,983,122949.14,0.02127659574468085,12.361702127659575,1,1,0.99928075
549,1,1,36,6,139422.37,1,0,0,83983.39,1,1,1,720,139422.37,0.027777777777777776,15.25,1,1,0.99928063
703,0,0,51,3,0.0,3,1,1,77294.56,1,2,0,924,0.0,0.058823529411764705,13.784313725490197,1,1,0.99927706
677,2,1,56,5,123959.97,1,1,1,60590.72,1,1,0,809,61979.985,0.017857142857142856,12.089285714285714,1,1,0.99927396
573,2,1,46,3,65269.23,1,0,1,189988.65,1,4,1,521,32634.615,0.021739130434782608,12.456521739130435,1,1,0.9992725
593,1,0,39,8,151391.68,1,1,0,27274.6,1,2,3,246,151391.68,0.02564102564102564,15.205128205128204,1,1,0.9992706
669,0,1,50,4,149713.61,3,1,1,124872.42,1,4,2,329,74856.805,0.06,13.38,1,1,0.99926823
604,0,0,53,2,121389.78,1,1,1,48201.64,1,1,2,428,60694.89,0.018867924528301886,11.39622641509434,1,1,0.9992638
764,1,0,39,9,138341.51,1,1,0,50072.94,1,2,1,699,138341.51,0.02564102564102564,19.58974358974359,1,1,0.99925953
650,2,1,41,3,128808.65,3,0,0,113677.53,1,2,0,676,128808.65,0.07317073170731707,15.853658536585366,1,1,0.99925345
698,2,1,45,5,164450.94,1,1,0,141970.02,1,3,3,347,164450.94,0.022222222222222223,15.511111111111111,1,1,0.99925214
629,0,0,40,9,137409.19,1,1,0,175877.7,1,4,0,877,137409.19,0.025,15.725,1,1,0.9992384
595,0,1,46,10,0.0,1,1,0,73489.15,1,4,3,273,0.0,0.021739130434782608,12.934782608695652,1,1,0.99923587
620,0,0,70,3,87926.24,2,1,0,33350.26,1,3,3,909,87926.24,0.02857142857142857,8.857142857142858,1,1,0.9992316
817,1,1,45,9,101207.75,1,0,0,88211.12,1,2,3,847,101207.75,0.022222222222222223,18.155555555555555,1,1,0.99921954
565,1,0,58,3,108888.24,3,0,1,135875.51,1,3,2,936,54444.12,0.05172413793103448,9.741379310344827,1,1,0.9992193
742,1,0,44,8,107926.02,1,0,1,17375.27,1,1,0,696,53963.01,0.022727272727272728,16.863636363636363,1,1,0.9992105
611,0,0,61,3,131583.59,4,0,1,66238.23,1,3,2,755,65791.795,0.06557377049180328,10.01639344262295,1,1,0.99921
850,0,0,42,8,0.0,1,1,0,19632.64,1,5,0,366,0.0,0.023809523809523808,20.238095238095237,1,1,0.9992077
548,0,0,46,1,0.0,1,1,1,104469.06,1,4,3,842,0.0,0.021739130434782608,11.91304347826087,1,1,0.99920577
690,1,0,54,1,144027.8,1,1,1,108731.02,1,5,3,480,72013.9,0.018518518518518517,12.777777777777779,1,1,0.9992053
547,1,0,42,1,142703.4,1,1,0,86207.49,1,5,2,731,142703.4,0.023809523809523808,13.023809523809524,1,1,0.99919826
593,1,0,48,3,133903.12,2,1,1,85902.39,1,5,2,593,66951.56,0.041666666666666664,12.354166666666666,1,1,0.99917537
754,0,1,61,5,146622.35,1,1,1,41815.22,1,4,0,687,73311.175,0.01639344262295082,12.360655737704919,1,1,0.9991522
601,0,1,39,3,72647.64,1,1,0,41777.9,1,4,1,809,72647.64,0.02564102564102564,15.41025641025641,1,1,0.99913824
601,0,0,43,2,0.0,1,1,0,49713.87,1,3,2,732,0.0,0.023255813953488372,13.976744186046512,1,1,0.99913496
785,0,0,39,1,130147.98,1,1,0,163798.41,1,1,3,526,130147.98,0.02564102564102564,20.128205128205128,1,1,0.9991215
675,0,1,49,8,135133.39,1,0,1,179521.24,1,4,1,229,67566.695,0.02040816326530612,13.775510204081632,1,1,0.9991109
758,0,0,50,2,95813.76,3,1,1,67944.09,1,2,2,525,47906.88,0.06,15.16,1,1,0.99911064
738,2,1,49,3,0.0,3,1,1,65066.48,1,2,2,460,0.0,0.061224489795918366,15.061224489795919,1,1,0.9991098
618,0,1,56,7,0.0,1,1,1,142400.27,1,5,0,444,0.0,0.017857142857142856,11.035714285714286,1,1,0.9991068
595,0,0,53,7,0.0,2,1,0,41371.68,1,3,0,327,0.0,0.03773584905660377,11.226415094339623,1,1,0.9991061
706,1,0,46,7,111288.18,1,1,1,149170.25,1,2,0,862,55644.09,0.021739130434782608,15.347826086956522,1,1,0.99910045
740,0,1,44,9,0.0,1,0,1,96528.0,1,2,0,703,0.0,0.022727272727272728,16.818181818181817,1,1,0.9990885
638,1,1,42,8,145177.84,1,1,0,193471.74,1,4,2,798,145177.84,0.023809523809523808,15.19047619047619,1,1,0.99907327
567,0,0,47,2,0.0,1,0,0,110900.43,1,5,0,545,0.0,0.02127659574468085,12.063829787234043,1,1,0.9990539
386,2,0,53,1,131955.07,1,1,1,62514.65,1,5,1,676,65977.535,0.018867924528301886,7.283018867924528,1,1,0.9990441
581,1,1,50,2,143829.2,2,1,0,181224.24,1,5,0,805,143829.2,0.04,11.62,1,1,0.999042
731,0,1,43,2,0.0,1,1,1,170034.95,1,2,0,777,0.0,0.023255813953488372,17.0,1,1,0.9990338
670,1,1,40,2,164948.98,3,0,0,177028.0,1,3,3,955,164948.98,0.075,16.75,1,1,0.9990314
543,0,1,42,4,89838.71,3,1,0,85983.54,1,3,0,660,89838.71,0.07142857142857142,12.928571428571429,1,1,0.99902594
668,1,1,47,7,106854.21,1,0,1,157959.02,1,3,1,629,53427.105,0.02127659574468085,14.212765957446809,1,1,0.99902344
604,1,0,47,4,118907.6,1,0,1,47777.15,1,3,2,808,59453.8,0.02127659574468085,12.851063829787234,1,1,0.99902093
468,0,0,56,10,0.0,3,0,1,62256.87,1,3,2,547,0.0,0.05357142857142857,8.357142857142858,1,1,0.99901867
505,1,0,33,3,106506.77,3,1,0,45445.78,1,5,1,683,106506.77,0.09090909090909091,15.303030303030303,1,1,0.99901605
792,0,1,50,9,0.0,4,1,1,194700.81,1,4,0,369,0.0,0.08,15.84,1,1,0.9990133
350,0,1,51,10,0.0,1,1,1,125823.79,1,4,1,383,0.0,0.0196078431372549,6.862745098039215,1,1,0.9990107
